order_item_id,order_date,delivery_date,item_id,item_size,item_color,brand_id,item_price,user_id,user_title,user_dob,user_state,user_reg_date
26,6/23/2016,6/26/2016,92,xl,turquoise,42,69.9,9392,Mrs,4/14/1962,1010,3/24/2016
28,6/23/2016,7/2/2016,2,xxl,green,2,19.9,9392,Mrs,4/14/1962,1010,3/24/2016
37,6/23/2016,6/26/2016,895,38,white,39,39.95,30826,Mrs,4/27/1964,1001,2/17/2015
56,6/23/2016,NA,5,l,white,5,69.9,30828,Mrs,5/13/1966,1008,1/21/2016
65,6/23/2016,NA,55,40,purple,1,89.9,22948,Mrs,3/11/1957,1001,2/17/2015
80,6/23/2016,6/26/2016,57,l,purple,3,24.9,16075,Mrs,11/3/1969,1003,11/22/2015
95,6/23/2016,6/26/2016,57,xl,olive,3,34.9,17124,Mrs,3/3/1949,1015,8/2/2015
96,6/23/2016,6/26/2016,57,xl,black,3,34.9,17124,Mrs,3/3/1949,1015,8/2/2015
100,6/23/2016,6/26/2016,144,xxl,pink,14,29.9,5415,Mrs,1/3/1959,1002,2/17/2015
105,6/23/2016,6/26/2016,246,42,purple,40,79.9,25990,Mrs,11/21/1949,1010,2/17/2015
106,6/23/2016,6/26/2016,85,42,stained,40,79.9,25990,Mrs,11/21/1949,1010,2/17/2015
108,6/23/2016,NA,246,39,grey,40,79.9,3397,Mrs,3/26/1957,1008,2/17/2015
124,6/23/2016,6/26/2016,413,xl,black,14,59.9,28379,Mrs,10/9/1966,1010,2/17/2015
137,6/23/2016,6/26/2016,412,42,purple,11,49.9,29177,Mrs,8/27/1963,1010,2/17/2015
141,6/23/2016,6/26/2016,210,l,black,2,39.9,29177,Mrs,8/27/1963,1010,2/17/2015
181,6/23/2016,6/26/2016,139,xl,purple,3,29.9,19377,Mrs,5/7/1963,1002,2/17/2015
202,6/23/2016,6/26/2016,155,l,aubergine,5,49.9,12373,Mrs,6/7/1958,1008,2/26/2015
205,6/23/2016,6/28/2016,423,l,beige,33,12.9,30851,Mrs,4/5/1962,1010,8/29/2015
219,6/23/2016,6/27/2016,157,unsized,purple,32,0,18671,Mrs,11/5/1955,1010,2/17/2015
270,6/23/2016,6/26/2016,425,xxl,curry,46,24.9,30863,Mrs,8/29/1960,1001,2/17/2015
276,6/23/2016,NA,895,48,white,39,39.95,20510,Mrs,8/9/1961,1008,2/21/2015
279,6/23/2016,6/26/2016,80,40,grey,26,79.9,22733,Mrs,8/9/1950,1011,2/17/2015
290,6/23/2016,NA,27,6,ecru,19,39.9,14779,Mrs,10/16/1964,1016,2/6/2016
